mission_id,mission,agent_id,Year
1,Operation capture Jackal,2,2002
2,Save the Eiffel Tower,5,2004
3,Rescue Professor Chen,7,1998
4,Stop the Goblin,4,1995
5,Rescue Mrs Blandish,2,2001
6,Stop the gas heist,18,2015
7,Rescue Ambassador Jones,3,2016
8,Foil the drug deal in Moscow,4,2013
9,Capture Viktor - leader of a deadly gang,9,2001
10,Foil the Bank of America planned robbery,10,2002
11,Foil the drug deal in Mexico,6,2003
12,Operation find Gabbar,1,2004
13,Operatio bring Knox - dead or alive,2,2005
14,Save the Chinese president's daughter,12,2015
15,Foil the diamond heist in Sierra Leone,13,2001
16,Rescue Cecilia Boone - a US journalist,12,2002
17,Rescue Agent99,17,1996
18,Operation Argo,8,2001
19,Capture the Black September group,6,2021
20,Bring back U-2 spy plane,3,2008
21,Operation Berlin Tunnel,1,
22,Operation Jawbreaker,4,2010
23,Rescue the Last Air Bender,18,2011
24,Raid the Casino,9,2001
25,Save the spy,12,1999
26,Rescue Agent 355,13,1997
27,Project Azorien,11,2000
28,Operation Bronze,2,2019
29,Operation Avalanche,6,2012
30,Operation enter the dragon,7,1999
31,Operation fisticuff,12,2022
32,Operation catch Saddam,20,
33,Operation Finale,1,
34,Operation Far from Home,2,2009
35,Save the people from Holocaust,7,
36,Track the Notorious Jafaar,18,
37,Spy mission in Afghanistan,17,2016
38,Showdown in Iran,6,
39,Track the heist masterminds in California,3,
40,Save the Mars from destruction,4,2018
